t,x,y,z
0.517007,327.548004,-83.099899,267.769012
0.52708,321.766998,-118.975998,253.165009
,,,
0,579.397034,2797.120117,380.381989
0.010065,585.389954,2648.639893,405.544983
0.020021,582.622009,2633.810059,393.869995
0.029993,590.671021,2494.209961,408.731995
0.040077,595.442993,2421.360107,408.938995
0.049994,594.685974,2393.060059,389.726013
0.06002,599.407959,2285.180176,394.768005
0.069987,596.485962,2260.080078,373.225983
0.079993,603.417969,2140.810059,382.612
0.099012,604.198975,2041.23999,350.277008
0.109014,603.743958,1983.410034,339.266998
0.119,607.402039,1896.219971,332.635986
0.128997,613.079041,1795.789917,330.911011
0.13904,610.169983,1761.430054,308.856018
0.149047,615.418945,1667.809937,302.984009
0.158998,612.627014,1607.149902,286.083008
0.169014,615.588013,1535.150024,271.546997
0.179078,614.254028,1491.920044,246.638
0.189045,619.044006,1384.890015,241.886002
0.198999,619.566956,1332.160034,220.039001
0.209086,617.947998,1295.01001,187.289001
0.218999,620.593994,1196.790039,181.845001
0.229085,624.593994,1103.319946,172.598007
0.258,624.757019,929.256042,99.436905
0.268009,627.991028,848.263,81.6381
0.278033,629.315979,779.483948,58.243999
0.288052,627.269043,731.805969,26.2001
0.298069,631.079041,677.13501,53.954399
0.308005,626.447021,658.280029,61.133301
0.318003,626.890015,605.228027,84.598099
0.328009,628.867981,545.482971,111.347
0.338027,629.131042,495.846008,131.625992
0.348089,629.830994,424.496002,165.746002
0.35808,626.848999,393.869995,172.048996
0.368074,625.632996,356.765015,184.897003
0.378038,627.286011,291.763,208.252991
0.387087,626.075012,257.490021,218.388
0.407033,623.304016,170.983994,237.128998
0.417105,624.737,113.733002,254.855988
0.427043,624.656982,64.700203,265.794983
0.437083,623.238037,23.424501,271.622009
0.447033,622.770996,-10.851601,269.746002
0.457056,622.796997,-67.1045,284.377991
0.467095,619.828003,-100.185997,281.390991
,,,
0,784.932983,2025.000122,420.541992
0.009956,784.030029,2018.359863,395.929993
